Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
aa15235d_batch0,"[""{\n\t\""conservatism\"": 76,\n\t\""populism\"": 34\n}""]",,7.479952096939087,1693,448,516,,[],['resp_0fd09b1acf8b942c0069a81846cc448190bcd6563ab45d8785'],True
57004c56_batch0,"[""{\n\t\""conservatism\"": 44,\n\t\""populism\"": 62\n}""]",,8.633436918258667,4614,576,644,,[],['resp_0b37061f9d6bcfd10069a81846ca108198b60fb022e5fd8d45'],True
50492a6c_batch0,"[""{\n  \""conservatism\"": 94,\n  \""populism\"": 58\n}""]",,8.963817834854126,6186,576,644,,[],['resp_0b840b1296f761980069a81846ceac8194a641c2a5d88de19f'],True
d0e93f5e_batch0,"[""{\n\t\""conservatism\"": 88,\n\t\""populism\"": 62\n}""]",,9.503633975982666,12430,448,496,,[],['resp_04b7d83a23f0e90c0069a818474e988197a906982d4b259ef8'],True
e0c703ec_batch0,"[""{\n  \""populism\"": 78,\n  \""conservatism\"": 92\n}""]",,8.642202138900757,4946,448,478,,[],['resp_0978ee4e9c5d22290069a818484b948197aef9a0d560d19ecd'],True
f11b7b4d_batch0,"[""{\n  \""populism\"": 38,\n  \""conservatism\"": 22\n}""]",,10.238497972488403,6572,576,628,,[],['resp_0d2adac796116cbf0069a81846c9f88198bf99ca30c89b9b9f'],True
c3cfa36a_batch0,"[""{\n  \""conservatism\"": 72,\n  \""populism\"": 36\n}""]",,10.24879789352417,26439,448,518,,[],['resp_0b230e80e104ba5a0069a81846e1f8819690c1721f13846c98'],True
c6e1ffce_batch0,"[""{\n  \""populism\"": 58,\n  \""conservatism\"": 18\n}""]",,8.183159112930298,4126,384,456,,[],['resp_08c03e8a7051553c0069a81849de70819bb23cdb219d5a4c4f'],True
256801d6_batch0,"[""{\n  \""conservatism\"": 68,\n  \""populism\"": 10\n}""]",,8.767327070236206,10648,576,624,,[],['resp_02104cf0abdf52140069a81848d4a0819bb58cec0437bd862d'],True
ef7d4284_batch0,"[""{\n  \""populism\"": 65,\n  \""conservatism\"": 72\n}""]",,11.081087112426758,6321,704,740,,[],['resp_03504af474f0ea400069a81846ce94819ba917cb2e63092550'],True
7452c3c8_batch0,"[""{\n\t\""populism\"": 35,\n\t\""conservatism\"": 30\n}""]",,12.216705083847046,3530,832,874,,[],['resp_012657872c5209cb0069a81846d0f881908b029b2a4a7ef1e5'],True
7093a206_batch0,"[""{\n  \""populism\"": 18,\n  \""conservatism\"": 82\n}""]",,12.494699716567993,7016,704,776,,[],['resp_0fd2107c165a54ce0069a81846cd44819a8c09d03d9a8f1254'],True
