text,run,world,sports,sci/tech,business,politics,regulation,regional
"Positive Breakout: These 3 midcap stocks cross above their 200 DMAs.As long as the stock is priced above the 200-day SMA on the daily time frame, it is generally considered to be an overall uptrend.",1,False,False,False,True,False,False,False
"India's fledgling startups are ditching the growth-at-all-costs culture for an old favourite.Indian startups are recalibrating their strategies, with a majority of even early-stage companies prioritizing profitability over rapid growth. A recent survey reveals that 41% of early-stage founders have achieved operational profitability, highlighting a significant shift in mindset.",1,False,False,False,True,False,False,False
"Pickleball’s creating a racket in India, enough for investors to bet big on it.As Pickleball gains momentum in India, investors and startups are rushing to capitalize on the sport’s growth potential, positioning it as a key player in India’s fitness and leisure market.",1,False,True,False,True,False,False,False
"Stock market weakness to persist; selective approach key: Rahul Shah.So, if you look at the way the capital goods stocks were performing versus what they are now, so it is clearly a trend that 7% kind of a growth earlier which was 20 plus two years back.",1,False,False,False,True,False,False,False
"IndusInd Holdings to raise ₹800 cr for Invesco MF buy.IndusInd International Holdings (IIHL), backed by the Hinduja Group, seeks to raise ₹800 crore from Standard Chartered and other funds for a 60% stake acquisition in Invesco Asset Management (India). The deal awaits final approval from SEBI. A borrowing rate target of 11-12% is aimed, but private credit investors may find it unattractive.",1,False,False,False,True,False,True,False
RBI supersedes New India Co-operative Bank board for 12 months after imposing restrictions over lending irregularities.RBI's action was necessitated due to certain material concerns emanating from poor governance standards observed in the Mumbai-headquartered New India Co-operative Bank.,1,False,False,False,True,False,True,True
US State Dept pauses $400m armored EV plan involving Tesla.Tesla has previously received US$41.9 million in government vehicle-related contracts.,1,False,False,False,True,True,True,False
Kyndryl misses third-quarter revenue estimates as strong dollar weighs.KYNDRYL HOLDINGS-RESULTS/:Kyndryl misses third-quarter revenue estimates as strong dollar weighs,1,False,False,False,True,False,False,False
"India’s OTT Battle Turns Into JioHotstar Or Nothing.‘One ring to rule them all, and in the darkness, bind them’ — the situation perhaps not as morbid as&#8230;",1,False,False,True,True,False,False,False
"Narayana Hrudayalaya Q3 Results 2025 on 15 Feb, 2025: profit rise by 2.62% YOY, profit at ₹192.94 crore and revenue at ₹1366.68 crore.Narayana Hrudayalaya Q3 Results 2025 on 15 Feb, 2025: Revenue increased by 13.55% YoY &amp; profit increased by 2.62% YoY, profit at ₹192.94 crore and revenue at ₹1366.68 crore",1,False,False,False,True,False,False,False
