text,_id,optimistic about technology,anger,formality,toxicity towards other users,use of logic
"While your conclusion is careless, the deployment will likely improve consumer surplus.",52f62546,70.0,20.0,70.0,30.0,40.0
R&D intensity rose from 12% to 18% YoY; margins may compress before productivity gains materialize.,71aee04d,60.0,0.0,90.0,0.0,85.0
That take is clown shoes—learn the basics before posting.,d9570ca0,0.0,85.0,8.0,92.0,5.0
Low-key hyped for on-device models—privacy win without the lag.,3e34b3c5,85.0,0.0,10.0,0.0,35.0
@mina you’re right; the vendor ghosted us again—unacceptable.,f3840d2b,0.0,70.0,15.0,10.0,5.0
I concur with @lee: the policy update meaningfully strengthens user control.,b57aea60,5.0,0.0,60.0,0.0,10.0
Subscription gating for security patches undermines trust.,8627e222,10.0,25.0,60.0,0.0,15.0
Empirical evidence suggests platform concentration exacerbates rent extraction absent interoperability mandates.,b2104f43,0.0,0.0,88.0,0.0,80.0
New chips slap; battery life finally sane.,e26c32c2,85.0,0.0,5.0,0.0,5.0
"Your deterministic framing is naïve; nonetheless, the architecture promises substantial welfare gains.",8523b02b,70.0,15.0,80.0,40.0,35.0
"If inference cost drops below $0.001/query, long-tail apps become viable; otherwise, unit economics fail.",bffdeaf6,60.0,0.0,80.0,0.0,90.0
@devon is right—bait-and-switch trials are predatory; users deserve defaults that respect consent.,ac788b84,3.0,25.0,30.0,5.0,20.0
Benchmarks improved 12→19 on MTEB; small but real.,f0ffdee4,60.0,0.0,60.0,0.0,80.0
Anyone shouting “AI is over” is farming engagement—spare us.,a06da599,40.0,52.0,14.0,46.0,12.0
"The deployment evidences credible privacy-by-design, a salutary precedent for the sector.",e506da68,70.0,0.0,85.0,0.0,30.0
"Love the features, hate the upsells—pick a lane.",db5ae09e,10.0,45.0,10.0,5.0,5.0
Claims of AGI progress conflate scaling curves with capability thresholds; the evidence remains circumstantial.,ff2f977d,5.0,0.0,85.0,0.0,75.0
"Good thread, @arya—clear, fair, helpful.",6dfcc8cf,0.0,0.0,10.0,0.0,0.0
"Yes, lock-in is gross, but cross-vendor APIs mean switching costs are falling.",ddc4e241,65.0,20.0,25.0,0.0,65.0
"With respect, your argument misrepresents the data and borders on bad faith.",8898da04,0.0,45.0,70.0,60.0,20.0
