Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
9514d2c2_batch0,"[""{\n  \""sci/tech\"": true,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""business\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""regulation\"": false\n}""]",,3.401405096054077,400,320,411,,[],['resp_08c630452a812d410069a98517fdbc8196a6bd58c3bfe50dec'],True
9f706677_batch0,"[""{\n  \""world\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""politics\"": false\n}""]",,3.4068868160247803,394,320,408,,[],['resp_077b627a586c4b780069a98517f544819a99713ae2ac87ad71'],True
13c4c276_batch0,"[""{\n  \""politics\"": false,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regional\"": false\n}""]",,3.424935817718506,469,320,412,,[],['resp_0c1bdc825b08e0310069a98517f1c8819baf82b5a5df698cdc'],True
5eeb8f34_batch0,"[""{\n    \""regulation\"": false,\n    \""politics\"": false,\n    \""business\"": true,\n    \""sci/tech\"": false,\n    \""sports\"": false,\n    \""regional\"": false,\n    \""world\"": false\n}""]",,3.5973100662231445,461,384,445,,[],['resp_0e7349de4bde0e000069a98517fd6481939c96799fd3ad296b'],True
2e218fba_batch0,"[""{\n  \""business\"": true,\n  \""world\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""regional\"": false,\n  \""sports\"": false\n}""]",,3.579974889755249,466,384,465,,[],['resp_00cb53546ecd7e9e0069a98517fadc8199997de816d64afa28'],True
03c0708e_batch0,"[""{\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""politics\"": false\n}""]",,3.597683906555176,412,384,442,,[],['resp_07f8c46fea21fe1a0069a98517fc188199a756b34a37d4f871'],True
b774bc31_batch0,"[""{\n  \""business\"": false,\n  \""sports\"": false,\n  \""regulation\"": true,\n  \""world\"": false,\n  \""politics\"": true,\n  \""regional\"": false,\n  \""sci/tech\"": false\n}""]",,3.6409549713134766,412,320,438,,[],['resp_09b2c39551ffb0180069a98517fa00819b880e53aa29de8409'],True
c9217e3e_batch0,"[""{\n  \""regional\"": false,\n  \""world\"": false,\n  \""business\"": true,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""politics\"": false,\n  \""sports\"": false\n}""]",,3.657855987548828,425,384,470,,[],['resp_0ba1000414791f7a0069a98517fb1c819b9c2ec719f9f343bb'],True
686809bf_batch0,"[""{\n    \""politics\"": false,\n    \""regional\"": false,\n    \""world\"": false,\n    \""sci/tech\"": false,\n    \""regulation\"": false,\n    \""sports\"": false,\n    \""business\"": true\n}""]",,3.7022321224212646,406,384,453,,[],['resp_05975c6b5d495ce10069a98517fe088193868b780b9acda72e'],True
efca63e8_batch0,"[""{\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false\n}""]",,3.8498730659484863,413,448,517,,[],['resp_068120c108198c1f0069a98517f9e4819395d4d57cf2d4848a'],True
f552a1a8_batch0,"[""{\n  \""world\"": false,\n  \""regulation\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false\n}""]",,3.8630480766296387,404,384,451,,[],['resp_00778ef8883860f60069a98517ff008193b8188f649edf09aa'],True
09c69743_batch0,"[""{\n  \""regulation\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""politics\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""sports\"": false\n}""]",,3.920258045196533,441,384,495,,[],['resp_04e3e660c8fc9e8d0069a98517f964819b8e440563a019d709'],True
8aa99d99_batch0,"[""{\n  \""regional\"": false,\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sports\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true\n}""]",,3.935389757156372,408,384,476,,[],['resp_0ba6a6fdabd8c1d30069a98517f9e081979641f7967286b07a'],True
a8a1a23a_batch0,"[""{\n  \""regulation\"": false,\n  \""sports\"": false,\n  \""world\"": true,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": true,\n  \""regional\"": false\n}""]",,4.647073984146118,390,512,594,,[],['resp_05632df8e72e3d390069a98517fc308196a4d84db64a896033'],True
e30e1b5d_batch0,"[""{\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""sci/tech\"": false,\n  \""regulation\"": true,\n  \""politics\"": false,\n  \""business\"": true\n}""]",,4.07751202583313,420,512,568,,[],['resp_0c8132caf2a983310069a9851886b881959fcd65ee9caddc5e'],True
6204635c_batch0,"[""{\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""politics\"": false,\n  \""regional\"": false,\n  \""sports\"": false,\n  \""business\"": true\n}""]",,4.50107479095459,463,256,362,,[],['resp_06f6c6824096144b0069a985182290819ab15fb7796727802b'],True
af4fe60d_batch0,"[""{\n  \""regional\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""politics\"": true,\n  \""world\"": false,\n  \""regulation\"": true\n}""]",,4.68679404258728,429,640,697,,[],['resp_0844fa33633ad54f0069a9851801688193ae2f63339c56d737'],True
5aec23d5_batch0,"[""{\n  \""regulation\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""politics\"": false,\n  \""world\"": false\n}""]",,4.776992082595825,467,512,621,,[],['resp_017edc5b857fd30e0069a98517fd3081909694a2863a0063cf'],True
d9b3a4ca_batch0,"[""{\n  \""regional\"": false,\n  \""world\"": false,\n  \""politics\"": false,\n  \""business\"": true,\n  \""sci/tech\"": false,\n  \""regulation\"": false,\n  \""sports\"": true\n}""]",,5.396269083023071,412,384,457,,[],['resp_023f225a91c29c110069a98517fb988198b5f64c3bee2061f8'],True
ff667476_batch0,"[""{\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""world\"": false,\n  \""regulation\"": true,\n  \""politics\"": false,\n  \""sports\"": false\n}""]",,4.459143161773682,430,512,590,,[],['resp_00f36c73e210be180069a98518f7f481998854e29e624d48c2'],True
a167404e_batch0,"[""{\n  \""politics\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""regulation\"": false,\n  \""world\"": false,\n  \""sci/tech\"": false,\n  \""regional\"": false\n}""]",,3.6285178661346436,461,320,433,,[],['resp_08d4ddbc5b94640d0069a98519f7a88196a5013f54ec8a8da4'],True
fd5c9753_batch0,"[""{\n  \""sports\"": false,\n  \""politics\"": false,\n  \""regulation\"": false,\n  \""sci/tech\"": false,\n  \""world\"": false,\n  \""regional\"": false,\n  \""business\"": true\n}""]",,4.846069097518921,461,512,623,,[],['resp_0547d92ee27a16b10069a98518e3c4819bb7390168f38399ce'],True
e918d7c7_batch0,"[""{\n  \""regulation\"": false,\n  \""world\"": false,\n  \""regional\"": false,\n  \""business\"": true,\n  \""sports\"": false,\n  \""politics\"": false,\n  \""sci/tech\"": false\n}""]",,5.015552997589111,403,640,704,,[],['resp_03677d4fdc510ae50069a98518a824819688b1c312dbe9732d'],True
da6e0dc8_batch0,"[""{\n    \""politics\"": false,\n    \""regulation\"": false,\n    \""business\"": true,\n    \""world\"": false,\n    \""sci/tech\"": false,\n    \""sports\"": false,\n    \""regional\"": false\n}""]",,5.424549102783203,443,512,625,,[],['resp_02ad24b8b5f1e9ec0069a985185f808196b816406b92d6e1cc'],True
912fdbe0_batch0,"[""{\n  \""politics\"": false,\n  \""sci/tech\"": false,\n  \""business\"": true,\n  \""world\"": false,\n  \""sports\"": false,\n  \""regional\"": false,\n  \""regulation\"": true\n}""]",,5.968033075332642,449,640,735,,[],['resp_0891187d929d3a960069a98517f9308193ab779ae49b4b93ea'],True
512ef939_batch0,"[""{\n    \""regional\"": false,\n    \""sci/tech\"": true,\n    \""business\"": true,\n    \""politics\"": false,\n    \""regulation\"": false,\n    \""world\"": false,\n    \""sports\"": false\n}""]",,6.06878399848938,389,768,865,,[],['resp_0098510c7485795b0069a98517fb208196ac681bd3ddb42920'],True
19a58074_batch0,"[""{\n  \""sci/tech\"": false,\n  \""world\"": false,\n  \""regulation\"": true,\n  \""sports\"": false,\n  \""business\"": true,\n  \""regional\"": false,\n  \""politics\"": false\n}""]",,6.072825908660889,412,768,828,,[],['resp_0e852e202b08489d0069a98517fc7c8190a4a00b463869fba0'],True
